#The data is: Date,Time,Latitude,Longitude,T,ROW,DIR,SPD
2008-10-31, 14:00:00,36.773,98.670,9.0,43.0,320.0,1.5
2008-10-31, 14:00:00,30.317,97.767,16.7,43.0,0.0,0.0
2008-10-31, 14:00:00,34.398,96.148,13.0,43.0,0.0,0.0
2008-10-31, 14:00:00,28.973,95.863,17.0,43.0,60.0,1.5
2008-10-31, 14:00:00,45.150,89.150,8.0,43.0,310.0,2.6
2008-10-31, 14:00:00,33.717,96.667,16.0,43.0,190.0,7.7
2008-10-31, 14:00:00,29.115,95.463,17.8,43.0,0.0,0.0
2008-10-31, 14:00:00,32.131,110.955,16.7,43.0,140.0,4.6
2008-10-31, 14:00:00,31.583,110.350,15.0,43.0,190.0,2.1
2008-10-31, 14:00:00,34.280,87.600,10.5,43.0,150.0,2.1
2008-10-31, 14:00:00,34.269,86.858,15.0,43.0,170.0,2.6
2008-10-31, 14:00:00,30.614,88.063,NaN,43.0,30.0,2.6
2008-10-31, 14:00:00,33.566,86.745,12.2,43.0,0.0,0.0
2008-10-31, 14:00:00,34.658,86.943,9.4,43.0,0.0,0.0
2008-10-31, 14:00:00,33.178,86.782,10.6,43.0,40.0,1.5
2008-10-31, 14:00:00,31.419,87.048,10.6,43.0,0.0,0.0
2008-10-31, 14:00:00,34.644,86.786,9.4,43.0,120.0,2.1
2008-10-31, 14:00:00,34.861,86.557,12.0,43.0,0.0,0.0
2008-10-31, 14:00:00,32.300,86.406,10.0,43.0,70.0,2.1
2008-10-31, 14:00:00,30.688,88.246,12.8,43.0,70.0,2.1
2008-10-31, 14:00:00,34.744,87.599,9.4,43.0,110.0,1.5
2008-10-31, 14:00:00,33.220,87.611,10.6,43.0,0.0,0.0
2008-10-31, 14:00:00,36.133,90.917,11.0,43.0,180.0,5.7
2008-10-31, 14:00:00,36.183,94.117,15.0,43.0,170.0,4.1
2008-10-31, 14:00:00,35.133,90.233,11.7,43.0,170.0,3.6
2008-10-31, 14:00:00,36.370,92.472,13.3,43.0,150.0,3.1
2008-10-31, 14:00:00,35.733,91.650,12.0,43.0,190.0,2.1
2008-10-31, 14:00:00,35.967,89.950,13.0,43.0,180.0,2.6
2008-10-31, 14:00:00,33.617,92.767,12.0,43.0,0.0,0.0
2008-10-31, 14:00:00,34.047,94.399,11.7,43.0,0.0,0.0
2008-10-31, 14:00:00,33.221,92.813,10.0,43.0,0.0,0.0
2008-10-31, 14:00:00,36.300,92.583,10.0,43.0,0.0,0.0
2008-10-31, 14:00:00,35.334,94.365,12.2,43.0,50.0,2.6
2008-10-31, 14:00:00,36.010,94.168,15.6,43.0,200.0,5.7
2008-10-31, 14:00:00,35.939,89.832,12.2,43.0,180.0,3.6
2008-10-31, 14:00:00,34.478,93.096,12.8,43.0,80.0,1.5
2008-10-31, 14:00:00,36.262,93.155,15.0,43.0,140.0,2.6
2008-10-31, 14:00:00,35.837,90.643,10.0,43.0,0.0,0.0
2008-10-31, 14:00:00,34.727,92.236,10.0,43.0,160.0,2.6
2008-10-31, 14:00:00,33.638,91.751,10.0,43.0,0.0,0.0
2008-10-31, 14:00:00,34.917,92.150,9.1,43.0,0.0,0.0
2008-10-31, 14:00:00,35.638,91.176,11.1,43.0,180.0,4.6
2008-10-31, 14:00:00,34.100,93.066,8.8,43.0,0.0,0.0
2008-10-31, 14:00:00,34.545,94.202,18.0,43.0,250.0,4.1
2008-10-31, 14:00:00,34.550,93.583,16.7,43.0,NaN,2.1
2008-10-31, 14:00:00,34.175,91.935,10.0,43.0,170.0,2.1
2008-10-31, 14:00:00,36.367,94.100,14.0,43.0,150.0,5.1
2008-10-31, 14:00:00,35.259,93.093,12.2,43.0,0.0,0.0
2008-10-31, 14:00:00,34.600,91.567,11.0,43.0,150.0,3.1
2008-10-31, 14:00:00,36.200,94.483,15.0,43.0,170.0,6.7
2008-10-31, 14:00:00,35.212,91.737,8.8,43.0,0.0,0.0
2008-10-31, 14:00:00,33.456,93.988,12.2,43.0,160.0,1.5
2008-10-31, 14:00:00,36.350,94.217,14.0,43.0,180.0,4.1
2008-10-31, 14:00:00,36.282,94.307,13.3,43.0,170.0,4.6
2008-10-31, 14:00:00,32.950,111.767,17.0,43.0,60.0,2.6
2008-10-31, 14:00:00,33.269,111.811,16.0,43.0,60.0,2.6
2008-10-31, 14:00:00,32.167,110.883,16.0,43.0,140.0,4.1
2008-10-31, 14:00:00,31.469,109.604,8.9,43.0,0.0,0.0
2008-10-31, 14:00:00,33.690,112.066,20.0,43.0,0.0,0.0
2008-10-31, 14:00:00,33.467,111.733,20.0,43.0,50.0,3.6
2008-10-31, 14:00:00,35.140,111.672,2.2,43.0,0.0,0.0
2008-10-31, 14:00:00,32.433,112.683,19.0,43.0,100.0,1.5
2008-10-31, 14:00:00,35.946,112.155,2.8,43.0,0.0,0.0
2008-10-31, 14:00:00,33.527,112.295,18.0,43.0,0.0,0.0
2008-10-31, 14:00:00,33.417,112.383,19.0,43.0,NaN,2.1
2008-10-31, 14:00:00,35.258,113.933,15.6,43.0,160.0,2.1
2008-10-31, 14:00:00,35.028,110.721,6.1,43.0,110.0,3.6
2008-10-31, 14:00:00,33.317,111.650,18.0,43.0,110.0,1.5
2008-10-31, 14:00:00,33.533,112.383,17.9,43.0,0.0,0.0
2008-10-31, 14:00:00,32.624,113.764,21.1,43.0,290.0,1.5
2008-10-31, 14:00:00,31.421,110.846,10.0,43.0,0.0,0.0
2008-10-31, 14:00:00,36.920,111.448,10.6,43.0,0.0,0.0
2008-10-31, 14:00:00,33.434,112.051,20.6,43.0,130.0,2.1
2008-10-31, 14:00:00,34.649,112.422,10.0,43.0,310.0,1.5
2008-10-31, 14:00:00,35.650,109.067,-0.59,43.0,200.0,2.1
2008-10-31, 14:00:00,32.857,109.636,10.0,43.0,0.0,0.0
2008-10-31, 14:00:00,33.623,111.910,19.4,43.0,0.0,0.0
2008-10-31, 14:00:00,34.518,109.379,2.2,43.0,0.0,0.0
2008-10-31, 14:00:00,34.265,110.006,6.0,43.0,0.0,0.0
2008-10-31, 14:00:00,33.619,114.717,21.7,43.0,330.0,2.6
2008-10-31, 14:00:00,34.766,114.623,21.7,43.0,290.0,1.5
2008-10-31, 14:00:00,38.097,106.169,0.01,43.0,320.0,5.7
2008-10-31, 14:00:00,40.054,106.369,-9.0,43.0,0.0,0.0
2008-10-31, 14:00:00,40.450,106.750,6.0,43.0,0.0,0.0
2008-10-31, 14:00:00,39.050,105.514,6.0,43.0,310.0,3.6
2008-10-31, 14:00:00,38.967,104.817,0.81,43.0,350.0,4.1
2008-10-31, 14:00:00,40.174,103.214,9.4,43.0,240.0,6.2
2008-10-31, 14:00:00,37.439,105.861,-7.2,43.0,0.0,0.0
2008-10-31, 14:00:00,39.564,104.848,6.7,43.0,140.0,2.6
2008-10-31, 14:00:00,39.229,106.869,-1.7,43.0,200.0,3.1
2008-10-31, 14:00:00,39.917,105.117,10.0,43.0,NaN,1.5
2008-10-31, 14:00:00,39.710,104.758,7.0,43.0,180.0,4.1
2008-10-31, 14:00:00,40.493,107.524,-5.6,43.0,230.0,1.5
2008-10-31, 14:00:00,39.467,106.150,1.0,43.0,320.0,5.1
2008-10-31, 14:00:00,37.306,108.626,0.01,43.0,60.0,2.6
2008-10-31, 14:00:00,38.816,104.711,3.9,43.0,30.0,2.1
2008-10-31, 14:00:00,39.833,104.658,7.8,43.0,240.0,5.1
2008-10-31, 14:00:00,37.143,107.760,-0.59,43.0,60.0,2.6
2008-10-31, 14:00:00,40.042,107.890,-1.7,43.0,0.0,0.0
2008-10-31, 14:00:00,39.650,106.917,-4.0,43.0,0.0,0.0
2008-10-31, 14:00:00,38.700,104.767,5.0,43.0,350.0,4.1
2008-10-31, 14:00:00,40.450,105.017,4.0,43.0,200.0,1.5
2008-10-31, 14:00:00,39.783,104.550,11.0,43.0,210.0,5.1
2008-10-31, 14:00:00,39.134,108.539,7.2,43.0,120.0,3.6
2008-10-31, 14:00:00,38.533,106.933,-7.0,43.0,0.0,0.0
2008-10-31, 14:00:00,40.433,104.633,-3.0,43.0,0.0,0.0
2008-10-31, 14:00:00,40.483,107.217,2.0,43.0,110.0,6.2
2008-10-31, 14:00:00,39.242,102.283,4.4,43.0,260.0,3.1
2008-10-31, 14:00:00,38.072,102.687,2.2,43.0,250.0,3.1
2008-10-31, 14:00:00,38.049,103.512,5.0,43.0,260.0,5.1
2008-10-31, 14:00:00,39.273,103.667,-0.59,43.0,350.0,3.1
2008-10-31, 14:00:00,39.228,106.316,-3.9,43.0,90.0,2.1
2008-10-31, 14:00:00,38.505,107.897,1.7,43.0,170.0,2.6
2008-10-31, 14:00:00,38.484,106.317,2.0,43.0,270.0,8.8
2008-10-31, 14:00:00,38.290,104.498,0.01,43.0,0.0,0.0
2008-10-31, 14:00:00,37.283,102.617,5.6,43.0,290.0,3.1
2008-10-31, 14:00:00,37.267,104.433,6.7,43.0,270.0,6.2
2008-10-31, 14:00:00,37.954,107.909,3.0,43.0,130.0,2.1
2008-10-31, 14:00:00,37.501,105.167,7.0,43.0,250.0,1.5
2008-10-31, 14:00:00,30.772,86.520,11.1,43.0,0.0,0.0
