,,,Dec 29-Jan 4,Jan 5-Jan 11,Jan 12-Jan 18,Jan 19-Jan 25,Jan 26-Feb 1,Feb 2-Feb 8,Feb 9-Feb 15,Feb 16-Feb 22,Feb 23-Mar 1,Mar 2-Mar 8,Mar 9-Mar 15,Mar 16-Mar 22,Mar 23-Mar 29,Mar 30-Apr 5,Apr 6-Apr 12,Apr 13-Apr 19,Apr 20-Apr 26
State,Local Govt Areas,Population,Attack Rate,Attack Rate ,Attack Rate,Attack Rate,Attack Rate ,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate
Adamawa,Gombi,159541.00,,,,,,,,,1.25,,,5.64,2.51,2.51,,,
Adamawa,Guyuk,193705.00,,,,,,,,,6.19,6.19,17.55,23.75,9.81,6.71,3.10,4.13,
Adamawa,Lamurde,122904.00,,,,,,,4.07,4.88,20.34,5.70,8.95,1.63,1.63,,,,
Adamawa,Madagali,146900.00,,0.68,0.68,,,,10.21,2.72,6.13,,,2.72,7.49,,,,
Adamawa,Maiha,121174.00,,,,,,,,,,,,1.65,11.55,3.30,,,
Adamawa,Mayo Belwa,166841.00,,,,,,,,,,,3.60,7.19,8.99,,,,
Adamawa,Michika,169209.00,0.59,1.18,2.95,1.77,6.50,,4.14,4.73,12.41,2.95,6.50,6.50,4.14,1.77,3.55,1.77,
Adamawa,Numan,98847.00,,,,,,,,1.01,1.01,1.01,8.09,8.09,5.06,,,,3.03
Adamawa,Shelleng,162418.00,,,,,,,1.23,5.54,7.39,42.48,33.86,25.24,25.86,,,,
Adamawa,Song,209953.00,,,,,,,,1.91,4.29,4.76,12.86,3.33,8.57,7.14,4.29,,
Adamawa,Yola North,216000.00,0.46,,,,,,,0.46,,,4.17,5.56,7.87,2.31,3.24,6.48,
Adamawa,Yola South,212034.00,,,,,,,,0.94,0.47,0.47,1.41,,8.49,,,,
Bauchi,Alkaleri,364181.00,,,,,,,,,6.32,5.77,0.82,0.82,14.83,12.08,3.30,3.02,1.92
Bauchi,Bauchi,545911.00,,,0.37,,0.55,0.18,0.18,7.69,6.59,3.85,7.33,7.14,10.07,20.33,23.26,27.84,3.85
Bauchi,Bogoro,93100.00,,,,,,,,2.15,8.59,17.19,65.52,22.56,37.59,3.22,4.30,9.67,12.89
Bauchi,Damban,166845.00,1.20,2.40,4.20,9.59,7.19,17.98,28.77,49.75,23.37,50.95,23.37,25.77,23.97,22.78,22.18,19.18,10.19
Bauchi,Darazo,278142.00,,,,,0.36,0.36,8.99,3.60,6.83,12.58,10.07,20.13,26.61,20.85,15.10,9.35,5.75
Bauchi,Dass,99433.00,,,,,,1.01,,,,4.02,13.07,1.01,7.04,5.03,5.03,12.07,10.06
Bauchi,Gamawa,316604.00,,,,,0.95,0.63,2.53,3.47,4.11,4.42,8.84,7.90,3.47,4.74,13.58,5.37,3.79
Bauchi,Ganjuwa,310059.00,,,0.32,,,,,1.94,,11.61,23.33,50.64,45.15,56.12,21.93,17.74,35.15
Bauchi,Giade,173530.00,0.58,,,,,,1.15,19.59,7.49,24.20,40.92,38.03,78.95,76.07,66.27,59.36,29.97
Bauchi,Itas-Gadau,254262.00,,,,2.75,1.57,,1.97,11.41,17.30,6.69,46.41,22.02,31.46,76.30,25.96,13.77,7.08
Bauchi,Jama'Are,130321.00,,,,,,,6.91,15.35,16.88,17.65,33.76,65.99,45.27,216.39,39.90,42.20,13.81
Bauchi,Katagum,327197.00,,,,,,4.89,6.11,22.62,12.23,24.45,38.51,33.92,50.73,41.57,16.20,25.37,11.31
Bauchi,Kirfi,163193.00,,,,,1.23,,,,,,1.23,5.51,5.51,6.74,41.06,16.54,7.35
Bauchi,Misau,291287.00,,,,,,1.37,,2.06,3.78,3.43,4.12,4.12,17.51,27.46,21.97,10.30,7.55
Bauchi,Ningi,428044.00,,1.64,,,,,,,0.93,4.91,6.07,5.84,19.86,10.51,16.12,39.95,12.38
Bauchi,Shira,258704.00,,,,,1.55,,6.57,9.28,8.89,15.08,14.30,15.46,17.39,14.69,10.44,11.60,4.64
Bauchi,T/Balewa,243198.00,,,,,,,,,,4.93,6.99,3.29,3.70,5.35,6.99,2.47,7.81
Bauchi,Toro,387374.00,,,,,,,,3.10,1.29,0.52,2.84,4.90,2.32,8.78,8.00,5.16,4.39
Bauchi,Warji,126824.00,,,,,,,5.52,3.94,,3.94,14.98,9.46,16.56,8.67,6.31,43.37,0.79
Bauchi,Zaki,211657.00,,,,,0.94,3.31,,5.20,3.31,7.09,20.32,4.72,8.98,4.25,10.39,12.76,8.98
Borno,A/Uba,152661.00,,,,,,,,1.31,1.97,,5.90,1.97,7.86,8.52,,,
Borno,Bayo,87311.00,,5.73,5.73,16.03,8.02,10.31,18.33,18.33,35.51,,37.80,93.92,64.14,49.25,28.63,,
Borno,Biu,194649.00,,,,1.54,1.03,3.60,4.11,8.22,13.36,8.22,8.73,7.71,17.47,13.36,20.04,2.05,
Borno,Hawul,133008.00,,,,,,,,3.01,9.02,3.01,2.26,,1.50,1.50,,,1.50
Borno,Jere,233488.00,,,,,,,,,1.28,,2.14,,2.14,7.28,14.99,34.69,
Borno,Kaga,99512.00,,,,,,,,,,2.01,,2.01,4.02,5.02,10.05,5.02,
Borno,Kw/Kusar,62461.00,,,,,,,,1.60,17.61,14.41,97.66,67.24,35.22,24.01,9.61,,8.00
Borno,Shani ,113112.00,,,,,,13.26,18.57,3.54,7.96,,0.88,,6.19,1.77,,,
Borno,Damboa,256006.00,,,,,,,,,,,0.78,5.47,6.64,8.20,4.30,2.34,10.94
Gombe,Akko,371336.00,,,,,,,1.62,4.58,7.81,16.43,16.70,16.97,31.51,16.97,14.81,7.00,3.23
Gombe,Balanga,233614.00,,,,,,,4.28,4.28,23.54,3.85,21.83,65.92,47.94,29.22,25.26,8.99,4.71
Gombe,Billiri,222177.00,,,,,,,,3.60,9.90,9.90,13.05,9.00,11.25,4.50,1.80,4.95,
Gombe,Dukku,227724.00,,,0.88,,,2.63,2.20,23.27,16.25,13.61,45.23,24.59,38.20,21.08,16.25,5.71,0.44
Gombe,Funakaye,259484.00,,,0.39,2.31,5.40,16.57,12.72,25.05,46.25,48.56,38.54,40.08,50.48,40.46,34.30,14.26,5.01
Gombe,Gombe,294560.00,,1.02,0.66,0.66,0.34,4.75,5.77,15.62,20.37,25.80,26.82,33.95,55.34,39.36,17.56,6.45,3.39
Gombe,Kaltungo,164651.00,,1.21,,,,1.82,3.64,15.79,31.58,45.55,52.84,63.77,44.94,27.33,21.86,4.25,
Gombe,Kwami,214653.00,,,,,,,0.93,3.26,3.73,2.33,9.78,22.83,20.03,20.96,20.03,20.50,10.25
Gombe,Nafada,151880.00,,,,,4.61,5.27,9.22,5.93,13.83,12.51,23.04,15.14,31.60,33.58,14.49,7.90,1.32
Gombe,Shongom,166536.00,,,,0.60,0.60,,1.20,5.40,9.61,1.20,6.61,9.01,3.60,1.20,10.21,3.00,0.60
Gombe,Yamaltu Deba,280544.00,,,,,,0.71,4.63,12.12,37.78,44.56,50.62,75.21,83.77,95.89,51.33,30.30,13.90
Jigawa,Auyo,143821.00,,,,,6.26,2.09,10.43,0.70,20.86,9.04,8.34,32.68,14.60,,,14.60,22.25
Jigawa,Babura,226736.00,,0.88,1.32,,6.82,2.65,4.41,3.09,3.53,8.82,,,,,,,
Jigawa,Birniwa-Kudu,341435.00,0.29,1.76,2.05,2.64,3.22,7.32,10.54,27.53,41.30,,,,,55.35,,16.40,52.43
Jigawa,Biriniwa,155074.00,,,,,,3.22,0.64,7.09,,35.47,0.64,15.48,,36.11,29.02,,
Jigawa,Buji,106090.00,,,,4.71,4.71,4.71,4.71,9.43,18.85,23.56,34.88,229.05,,,,83.89,103.69
Jigawa,Dutse,268184.00,1.12,0.37,0.75,0.75,1.49,2.24,,8.95,2.98,14.29,14.29,22.37,28.71,,16.78,,12.30
Jigawa,Gagarawa,87593.00,,,12.56,,,28.54,,43.38,,15.98,,63.93,67.36,,,52.52,
Jigawa,Garki,165865.00,,,,0.60,,3.62,,0.60,,17.48,,,28.94,47.63,,44.61,36.78
Jigawa,Gumel,116757.00,,,1.71,6.85,22.27,,,47.96,,20.56,,,54.81,,36.83,34.26,37.69
Jigawa,Guri,125318.00,,,,0.80,,,,,7.18,9.58,11.97,35.91,,,81.39,43.89,22.34
Jigawa,Gwaram,296991.00,,,,,0.67,,,4.71,9.09,11.45,23.57,23.57,,,53.20,6.73,16.84
Jigawa,Gwiwa,135667.00,,,,,,,,,2.21,6.63,9.58,,14.00,,11.06,6.63,5.16
Jigawa,Hadejia,115087.00,,,0.87,1.74,,1.74,31.28,,18.25,36.49,20.85,28.67,32.15,,,,
Jigawa,Jahun,249609.00,,,1.60,,,2.40,,18.03,15.22,4.81,7.21,,47.67,,18.03,18.83,
Jigawa,Kafin Hausa,295331.00,1.69,1.69,,,9.14,43.34,40.29,62.64,3.39,,2.37,4.40,28.10,,,,
Jigawa,Kuagama,139414.00,,,,,0.72,4.30,10.76,17.93,5.74,45.19,43.04,13.63,41.60,96.12,28.69,,
Jigawa,Kazaure,175955.00,,,,1.70,1.70,6.25,6.25,,8.52,10.80,8.52,,19.89,5.68,,3.41,4.55
Jigawa,Kiri-Kasammma,208673.00,,,,,,0.48,,0.96,6.71,6.71,9.58,7.67,3.35,,,,7.19
Jigawa,Kiyawa,188397.00,1.59,0.53,1.06,5.31,13.27,11.15,14.33,28.13,28.13,35.56,3.72,44.59,9.02,,10.62,20.70,
Jigawa,Maigatari,195808.00,,0.51,0.51,4.60,5.62,2.04,10.21,4.09,6.13,8.17,7.15,,4.60,7.66,,7.15,3.06
Jigawa,Malam-Maduri,175867.00,,,,1.14,,1.71,11.94,11.94,17.06,14.78,12.51,14.78,42.08,,6.82,53.45,25.02
Jigawa,Miga,139924.00,,,1.43,,15.44,8.58,8.58,7.86,18.58,37.16,36.45,62.18,,22.87,,27.87,5.72
Jigawa,Ringim,209219.00,,,,,,0.96,0.48,7.65,16.73,28.68,21.55,38.24,22.94,,,30.59,13.38
Jigawa,Roni,84787.00,,,,,,,7.08,,16.51,16.51,11.79,,83.74,,8.26,16.51,
Jigawa,Sule-Tankarkar,142566.00,,,,,13.33,7.72,14.73,,,,47.00,,30.86,20.34,,49.80,14.73
Jigawa,Taura,143555.00,,,,,,,2.09,27.86,,,66.18,0.70,190.17,,,33.44,34.83
Jigawa,Yankwashi,104334.00,,,,,,,,10.54,4.79,4.79,,,7.67,6.71,24.92,25.88,
Kaduna,Igabi,470123.00,,,,,,,,3.83,1.49,0.64,,3.83,10.42,13.40,13.34,3.40,3.19
Kaduna,Ikara,211908.00,,,3.30,8.97,8.49,6.13,5.19,15.57,11.80,6.61,4.72,3.30,,4.25,4.72,2.83,
Kaduna,Kauru,185772.00,,,,,,,,,,1.08,0.54,,3.23,,,6.46,2.15
Kaduna,Lere,361869.00,,,,,,,,0.28,2.76,,5.25,3.59,7.46,9.95,4.97,1.66,2.21
Kaduna,Makarli,159821.00,,,,,,,22.53,,1.88,6.26,13.14,8.76,16.89,8.13,5.63,3.13,0.63
Kano,Ajingi,191952.00,,,,,1.04,,0.52,3.13,6.77,5.21,7.81,8.34,,19.28,22.92,6.25,5.21
Kano,Albasu,209606.00,,,,,,0.48,2.86,0.48,,,3.82,6.20,9.54,20.99,2.86,,
Kano,Bagwai,179507.00,5.01,3.34,4.46,5.57,8.36,11.14,15.15,31.75,22.28,12.81,25.63,16.71,10.03,6.13,5.01,3.34,0.56
Kano,Bebeji,208180.00,,4.32,0.96,5.28,2.40,3.36,1.92,,4.80,8.17,13.93,8.65,5.76,14.89,29.78,4.32,2.88
Kano,Bichi,305447.00,,,0.33,3.93,2.62,9.82,21.61,10.80,10.15,22.26,,,49.76,61.55,60.89,25.54,
Kano,Bunkure,188374.00,,,,,,,,2.12,,0.53,1.59,7.43,15.39,,,,
Kano,D/Kudu,248447.00,,,,,,2.82,5.23,,6.44,6.44,2.01,4.03,,25.36,32.30,,10.87
Kano,D/Tofa,273233.00,,,,,,,,0.73,1.83,5.86,0.37,0.37,19.03,,,,
Kano,Dambatta,229244.00,,,,,,1.74,2.18,11.78,17.88,22.25,12.21,,19.19,47.98,19.63,10.47,5.67
Kano,Doguwa,166647.00,,,,,,,,1.80,2.40,2.40,19.20,,,,,,
Kano,Fagge,219169.00,,,,,3.19,0.91,0.91,,,3.19,4.56,5.93,,31.03,39.24,20.99,17.34
Kano,G/Mallam,128412.00,,,,,,2.34,,,10.90,,5.34,5.45,14.80,26.48,,6.23,
Kano,Garko,179124.00,,,,,,1.12,3.35,2.79,,1.12,4.47,,12.28,16.75,13.96,12.28,10.05
Kano,Gaya,221581.00,,,,3.16,0.45,,1.81,5.42,0.90,1.81,0.45,4.06,0.90,,,4.51,
Kano,Gezawa,310925.00,,,,,1.61,0.32,0.64,,1.93,2.57,5.79,0.64,5.47,3.86,,5.47,0.96
Kano,Gwale,399099.00,,,,,,,0.50,,,0.75,3.01,4.26,5.01,12.53,1.25,,
Kano,Gwarzo,202809.00,,,3.94,,2.47,2.96,10.85,13.31,4.93,,0.49,1.48,,40.93,8.38,7.40,4.44
Kano,Kabo,169585.00,,,,,0.59,,5.90,7.08,2.95,7.67,7.08,35.38,53.67,66.05,27.72,15.33,5.90
Kano,Kano Mun.,402919.00,,,,,,,0.99,0.25,,5.21,1.99,2.48,,,2.98,,
Kano,Karaye,155873.00,,,1.28,1.28,,,7.70,14.11,7.06,,12.19,18.60,,,,,
Kano,Kibiya,150724.00,,,,,,,,1.99,37.15,39.81,4.64,,5.97,,,1.99,
Kano,Kiru,291869.00,,0.34,0.34,3.08,7.54,3.77,1.03,3.77,,,0.69,0.69,,,4.11,2.06,
Kano,Kumbotso,326259.00,,,,,,,0.31,0.92,0.92,7.05,3.68,4.90,4.29,14.41,4.29,3.07,3.07
Kano,Kunchi,122375.00,,,,,0.82,,7.35,7.35,17.16,10.62,8.17,0.82,,2.45,2.45,,0.82
Kano,Kura,159394.00,,,,2.51,,,,3.14,6.90,0.63,,3.14,,7.53,,,
Kano,Madobi,150600.00,,1.33,,,0.66,2.66,2.66,3.32,,5.31,5.31,11.95,32.54,27.22,98.94,3.98,3.98
Kano,Makoda,245151.00,,,,,,,,5.71,11.01,17.95,15.09,,,19.58,5.30,,
Kano,Minjibir,235555.00,0.85,0.85,,,,1.70,0.85,,9.34,13.15,5.94,3.39,5.94,19.09,,,
Kano,Nassarawa,657710.00,,,,,0.15,,,,,6.08,2.89,6.54,2.13,1.22,6.84,1.98,1.22
Kano,Rano,160318.00,,,,,,,,1.87,,3.74,,,63.62,52.40,,,
Kano,Rimin Gado,115510.00,,,,,,3.46,3.46,2.60,0.87,,4.33,1.73,38.09,2.60,25.97,4.33,4.33
Kano,Rogo,251041.00,,,0.80,,,2.39,,1.99,,,,,1.20,1.59,7.17,5.18,
Kano,Shanono,154992.00,,,,,,,2.58,0.65,5.81,0.65,,4.52,25.16,7.74,8.39,5.16,11.51
Kano,Sumaila,279611.00,,,,,,,,,,,,,3.58,,6.44,,
Kano,T/Wada,255450.00,,,,,,,0.78,3.91,3.13,6.65,9.00,12.14,16.83,,8.61,2.74,
Kano,Takai,223484.00,,,0.45,,0.45,,,,,,,,7.16,8.50,9.40,,
Kano,Tarauni,244013.00,,,,,,,0.82,2.87,3.28,2.46,1.64,1.64,,13.52,25.82,,7.79
Kano,Tofa,107732.00,7.43,7.43,5.57,3.71,12.07,31.56,21.35,27.85,7.43,21.35,21.35,3.71,,43.63,58.48,24.13,13.92
Kano,Tsanyawa,173811.00,,,,2.30,,1.15,2.30,13.23,9.78,6.90,,,10.36,7.48,38.55,6.33,6.33
Kano,Ungogo,407474.00,,,,,,,0.25,0.49,0.74,2.21,3.19,7.61,2.45,5.89,8.34,3.19,2.70
Kano,Warawa,141962.00,,,,,,0.70,4.93,9.16,,1.41,3.52,0.70,14.79,29.59,,15.50,
Kano,Wudil,204134.00,,,,0.49,0.49,2.94,6.37,6.37,,3.43,7.35,,20.08,28.41,11.76,3.43,4.90
Katsina,Bakori,163222.00,,,,,3.06,3.06,1.23,30.63,,,51.46,53.91,23.89,30.63,53.30,99.86,
Katsina,Batagarawa,201690.00,,0.50,,,0.50,0.99,1.98,11.40,18.84,23.80,19.83,13.39,,,27.77,36.19,18.84
Katsina,Batsari,228356.00,,,,,,6.13,2.19,3.07,31.53,8.76,7.44,6.13,17.95,16.20,,,
Katsina,Baure,215732.00,,,,,,,,2.78,6.49,,,0.46,8.81,11.12,,,
Katsina,Bindawa,166484.00,,,,,1.80,,9.61,51.66,25.83,26.43,39.04,52.86,26.43,26.43,4.81,1.80,
Katsina,Charanchi,150373.00,,,,,1.33,3.33,,,,,43.23,39.90,34.58,47.22,28.60,31.26,
Katsina,Dandume,159253.00,,,,,,1.26,,,4.40,9.42,11.30,3.77,21.35,69.07,12.56,6.91,
Katsina,Danja,137359.00,,,,,10.92,13.10,26.21,64.79,68.43,90.27,129.59,95.37,87.36,11.65,74.26,30.58,17.47
Katsina,Danmusa,124233.00,,3.22,,,8.05,16.10,2.41,1.61,8.85,11.27,19.32,20.93,4.02,25.76,,,8.05
Katsina,Daura,240095.00,,,,2.08,,0.83,2.08,,2.92,1.67,9.58,3.75,5.41,7.50,,,
Katsina,Dutsi,131152.00,,,1.52,,1.52,,,,0.76,9.91,9.15,,2.29,2.29,,,
Katsina,Dutsinma,185404.00,,,,,1.08,,1.08,3.24,4.85,16.72,31.28,11.87,,21.04,32.56,11.87,10.79
Katsina,Faskari,214213.00,,,,,,1.87,3.73,0.93,4.20,12.14,10.74,17.74,43.41,25.21,50.42,,
Katsina,Funtua,246488.00,,,,,,,2.84,,6.09,1.22,11.77,6.49,13.79,36.92,44.22,43.41,23.53
Katsina,Ingawa,185494.00,,,,,,,,11.86,16.17,23.18,19.14,10.24,28.03,9.70,10.24,7.01,
Katsina,Jibya,185488.00,,,,,,,14.56,5.93,17.79,,,1.08,5.93,,,1.62,
Katsina,Kafur,221697.00,,,0.45,5.86,7.22,4.96,0.45,8.57,16.69,7.67,9.47,18.49,36.99,3.61,60.89,,0.45
